president,approval,timestamp
Trump,42.44057,22 Sep 2019
Trump,42.688312,22 Sep 2020
Biden,46.327145,22 Sep 2021
Trump,41.63386,23 Apr 2017
Trump,40.24137666666667,23 Apr 2018
Trump,41.30463,23 Apr 2019
Trump,43.449942,23 Apr 2020
Biden,53.751111,23 Apr 2021
Trump,36.92514,23 Aug 2017
Trump,42.08969,23 Aug 2018
Trump,41.59114,23 Aug 2019
Trump,41.808292,23 Aug 2020
Biden,48.490917,23 Aug 2021
Trump,37.25974,23 Dec 2017
Trump,43.09970066666667,23 Dec 2019
Trump,42.629712,23 Dec 2020
Biden,43.25585,23 Dec 2021
Trump,40.01941,23 Feb 2018
Biden,54.406798,23 Feb 2021
Trump,38.35379,23 Jan 2018
Trump,39.52579,23 Jan 2019
Trump,42.635503,23 Jan 2020
Trump,38.4932,23 Jul 2017
